round	value	daily_double	category	comments	answer	question	air_date	notes\
3	0	no	LANDMARKS	-	The quote "With malice toward none" is on the wall of his Washington, D.C. memorial	Abraham Lincoln	2006-10-06	2006 Back to School Week game 5.\
1	200	no	NOVEL SYNOPSES	-	A French curator is killed.  Symbology Professor Langdon is called to help.  Sophie learns her family history	The Da Vinci Code	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	400	no	NOVEL SYNOPSES	-	Holden is to be expelled from Pencey.  Holden has adventures in NYC.  Holden watches his sister	The Catcher in the Rye	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	600	no	NOVEL SYNOPSES	-	Jerry has a run-in with a gang, the Vigils.  Jerry is told to refuse to sell chocolate for his school.  Jerry gets beat up	The Chocolate War	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	800	no	NOVEL SYNOPSES	-	Roy gets shot on the way to a Cubs tryout.  Roy turns the Knights around.  Wonderboy breaks, Roy fails	The Natural	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	1000	no	NOVEL SYNOPSES	-	Paul & friends join the German army in WWI.  The Kaiser visits the front.  Paul is killed	All Quiet on the Western Front	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	200	no	MTV	-	Frankie Muniz was one of the first celebrities to have a prank played on him by Ashton Kutcher on this series	Punk'd	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	400	no	MTV	-	One of MTV's most popular series ever featured this family: Ozzy, Kelly, Jack & Sharon	The Osbournes	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	600	no	MTV	-	Like previous teens, if you dream of becoming a rapper, a lifeguard, or a prom prince, this show's for you	Made	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	800	no	MTV	-	For all of the latest music videos, watch "TRL", which stands for this	Total Request Live	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	1000	no	MTV	-	MTV has been a big supporter or RTV, this organization that encourages young people to be active in politics	Rock the Vote	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	200	no	NEWSPAPER SECTIONS	-	Section where Troy Polamalu & Shawn Green make headlines	Sports	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	400	no	NEWSPAPER SECTIONS	-	The New York Times runs bestseller lists in this Sunday section	the Book Review section	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	600	no	NEWSPAPER SECTIONS	-	It doesn't contain secret data but ads divided into categories	the Classifieds	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	800	no	NEWSPAPER SECTIONS	-	Wow!  This L.A. Times section says ALCAN is up 5 cents!  Sell!!	Business	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	1000	no	NEWSPAPER SECTIONS	-	The Washington Post section on city life; it's also the city's subway	Metro	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	200	no	COMPUTING 101	-	In computerese, it's the "app" in "killer app\\"	application	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	400	no	COMPUTING 101	-	This 4-letter term for a small image on a computer screen shares its name with a specialized image of a holy person	an icon	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	600	no	COMPUTING 101	-	A flatbed one of these optical devices is used to get images into your computer to use on your website	a scanner	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	800	no	COMPUTING 101	-	In order to get online, you'll need one of these, an ISP	an Internet service provider	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	1000	no	COMPUTING 101	-	\\"Broadcast yourself" is the slogan of this website that was recently bought for $1.6 billion	YouTube	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	200	no	CHEM CLASS	-	Charles' law says that the volume of a fixed amount of gas is directly proportional to this	temperature	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	600	no	CHEM CLASS	-	Rusting is also called this process, for the element that causes it	oxidation	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	1000	no	CHEM CLASS	-	These can be almost instant, like an explosion, or very slow, like the corrosion of copper	a reaction	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	200	no	YOU GET AN "A\\"	-	...in Drama, if you can name this city that hosted the ancient drama festival called the City Dionysia	Athens	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	400	no	YOU GET AN "A\\"	-	...in American History, if you know that this man was the only U.S. president named Chester	Arthur	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	600	no	YOU GET AN "A\\"	-	...in French, if you remember this French word for "friend\\"	ami	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	800	no	YOU GET AN "A\\"	-	...in Biology, if you recall that millipedes belong to this phylum of animals	arthropods	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	1000	yes	YOU GET AN "A\\"	-	...in Geography, if you know that this country calls itself Republik Oesterreich	Austria	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	400	no	TEENS IN HISTORY	-	By the time he was 13, Louis XV had already been king of this country for 8 years	France	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	800	no	TEENS IN HISTORY	-	When teen king Ptolemy XIV died in 44 B.C., it was rumored that this queen, his sister, had had him poisoned	Cleopatra	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	1200	no	TEENS IN HISTORY	-	Augustus Caesar was just 18 when he learned he'd been named the heir to this Roman leader	Julius Caesar	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	1600	no	TEENS IN HISTORY	-	In the 1460s this teen, the future husband of Queen Isabella, fought in the Catalonian Wars	King Ferdinand	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	2000	no	TEENS IN HISTORY	-	By age 16, Nijinsky was already known as the "Eighth Wonder of the World" as one of these performers	a ballet dancer	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	400	no	ALSO A PRO SPORTS TEAM	-	Proverbially, "it's not" this, "it's the humidity"--but don't tell that to Shaq	The Heat	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	800	no	ALSO A PRO SPORTS TEAM	-	It's the common bond of Catherine of Siena, Francis of Assisi & Thomas Aquinas	Saints	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	1200	no	ALSO A PRO SPORTS TEAM	-	The annual running of these in Spain got international notice with Hemingway's "The Sun Also Rises\\"	Bulls	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	1600	no	ALSO A PRO SPORTS TEAM	-	Job title of Susan Collins, Carl Levin & Barack Obama	Senators	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	2000	no	ALSO A PRO SPORTS TEAM	-	Melancholy, or a type of music with lyrics like, "I missed the last clue, my woman left me, I got the 'Jeopardy!'...\\"	Blues	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	400	no	LANDMARKS	-	A line drawn from the Lincoln Memorial to the U.S. Capitol would pass through this 555' tower	the Washington Monument	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	800	no	LANDMARKS	-	Legend says if you're looking for someone, wait under Nelson's statue in this London square	Trafalgar	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	1200	no	LANDMARKS	-	This city's Point State Park at the tip of the Golden Triangle contains Fort Pitt Blockhouse, built in 1764	Pittsburgh	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	2000	yes	LANDMARKS	-	The Central Park statue by Georg Lober donated by this European country features an ugly duckling	Denmark	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	2000	no	LANDMARKS	-	The Selimiye Mosque, which was formerly the Cathedral of Saint Sophia, is in Nicosia on this island	Cyprus	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	400	no	NORSE MYTHOLOGY	-	In the Norse creation story, Embla is the equivalent of this biblical woman	Eve	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	800	no	NORSE MYTHOLOGY	-	This day of the week was sacred to the goddess Frigga--thank God!	Friday	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	1200	no	NORSE MYTHOLOGY	-	This magic tool of Thor's wasn't just a weapon; he also used it to bless weddings	a hammer	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	1600	no	NORSE MYTHOLOGY	-	Bragi, the god of poetry, is the son of this chief Norse god, quite a poet himself	Odin	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	2000	no	NORSE MYTHOLOGY	-	Feasting & fighting are favorite pastimes at this "hall of the slain\\"	Valhalla	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	400	no	OIL IN THEM THAR STATES	-	Oil flows through the Black Hills of Custer County in this state	South Dakota	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	800	no	OIL IN THEM THAR STATES	-	Known for tobacco farming & horse breeding, this Bluegrass State also has oil in the Cumberland Plateau	Kentucky	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	1200	no	OIL IN THEM THAR STATES	-	Champaign toasted the oil discovered in this state; now it's second in production for states east of the Mississippi	Illinois	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	1600	no	OIL IN THEM THAR STATES	-	In the 1850s a prairie wheat state was known as "Bleeding" this; today, oil might make it "Gushing" this	Kansas	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	2000	no	OIL IN THEM THAR STATES	-	One of the oldest producing wells is Burning Springs, which was once destroyed by Confederates in this 35th state	West Virginia	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	400	no	ADJECTIVES	-	This adjective that means "immediate" can precede "coffee" or "pudding\\"	instant	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	3000	yes	ADJECTIVES	-	This adjective can mean "relating to fingers" or "relating to numbers\\"	digital	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	1200	no	ADJECTIVES	-	Marvelous, like Sam's hair care franchises or 4 certain comic book superheroes	fantastic	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	1600	no	ADJECTIVES	-	Both pontifical and this 5-letter adjective mean "relating to the pope\\"	papal	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
2	2000	no	ADJECTIVES	-	This directional adjective comes from a word meaning "sun\\"	southern (or south)	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
3	0	no	LANGUAGES	-	In South America, these are the 2 most widely spoken languages	Spanish & Portuguese	2007-02-05	2007 Teen Tournament quarterfinal game 1.\
1	200	no	IDENTIFY THE CONTINENT	-	It's the coldest, least populous & most remote continent	Antarctica	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	400	no	IDENTIFY THE CONTINENT	-	More than half the world's people live on this continent	Asia	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	600	no	IDENTIFY THE CONTINENT	-	It's the warmest continent	Africa	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	800	no	IDENTIFY THE CONTINENT	-	It has the world's largest tropical rain forest	South America	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	1000	no	IDENTIFY THE CONTINENT	-	It's the only continent without an active volcano on the mainland	Australia	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	200	no	CAT GOT YOUR MOVIE?	-	2003: A Seussical feline takes some kids on wild adventures	The Cat in the Hat	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	400	no	CAT GOT YOUR MOVIE?	-	1999: The curmudgeonly kitty Snowbell plots against a mouse-boy	Stuart Little	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	600	no	CAT GOT YOUR MOVIE?	-	2004: When Odie the dog is kidnapped, a fun-loving, Bill Murray-voiced tabby must rescue him	Garfield	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	800	no	CAT GOT YOUR MOVIE?	-	2004: Patience Prince was the name of this "kittenish" character played by Halle Berry	Catwoman	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	1000	no	CAT GOT YOUR MOVIE?	-	2006: Steve Martin solves mysteries as a bumbling French detective in this film	The Pink Panther	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	200	no	ALSO A WEATHER TERM	-	To welcome, or to order a cab	hail	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	400	no	ALSO A WEATHER TERM	-	Usual noun for what appears on a TV with bad reception	snow	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	600	no	ALSO A WEATHER TERM	-	Trumpets, trombones & flutes are grouped as this type of instrument	winds	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	800	no	ALSO A WEATHER TERM	-	If you're "on" one, you're in high spirits; if you're "under" one, you're in disgrace	a cloud	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	1000	no	ALSO A WEATHER TERM	-	If you "steal someone's" this, you've ruined the effect of a remark by anticipating it	thunder	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	200	no	MONTHLY NAME ORIGINS	-	Named after a god of war	March	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	400	no	MONTHLY NAME ORIGINS	-	Named in 8 B.C. for the reigning emperor	August	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	600	no	MONTHLY NAME ORIGINS	-	Named after an important goddess & protector of women or a prominent Roman family	June	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	800	no	MONTHLY NAME ORIGINS	-	Named after a god of gates	January	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	1000	no	MONTHLY NAME ORIGINS	-	Named after the goddess of plant growth	May	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	200	no	MMM... CHOCOLATE!	-	2005 saw the debut of a new Take 5 candy bar made with this "pale" chocolate	white chocolate	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	400	no	MMM... CHOCOLATE!	-	You can custom order these candies with your own slogan printed on one side & the famous "m" on the other	M&M's	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	600	no	MMM... CHOCOLATE!	-	This candy bar's trio is made up of Porthos, Athos & d'Artagnan; its website stated, "We do not use Aramis\\"	3 Musketeers	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	800	no	MMM... CHOCOLATE!	-	Lake Champlain Chocolates are made in this U.S. state (try the maple crunch)	Vermont	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	1000	no	MMM... CHOCOLATE!	-	Cortes introduced chocolate to Europe after encountering it in "the halls of" this Aztec emperor	Montezuma	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	200	no	\\"V"OCABULARY	-	It's an inoculation against a particular disease	a vaccination	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	400	no	\\"V"OCABULARY	-	This is a student with the highest academic rank who delivers a graduation speech	a valedictorian	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	600	no	\\"V"OCABULARY	-	One kind of computer simulation is called this type of reality	virtual reality	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	500	yes	\\"V"OCABULARY	-	This synonym of "speed" comes from the Latin for "speed\\"	velocity	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	1000	no	\\"V"OCABULARY	-	It's a large, open porch, usually with a roof	a veranda	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	400	no	\\'90s NEWS	-	Son succeeded father as leader of this Asian country that said it would withdraw from the nuclear nonprolif. treaty	North Korea	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	800	no	\\'90s NEWS	-	After Saddam Hussein invaded this country, the U.S. attacked Iraq	Kuwait	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	1200	no	\\'90s NEWS	-	After a bitter confirmation hearing, this man took over for retiring justice Thurgood Marshall	Clarence Thomas	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	1600	no	\\'90s NEWS	-	In 1994 Boris Yeltsin had his Russian forces invade this breakaway republic	Chechnya	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	2000	no	\\'90s NEWS	-	The leader of this S. Amer. country's Shining Path movement was captured, & Pres. Fujimori called him a "monster\\"	Peru	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	400	no	WE ARE THE CHAMPIONS	-	The Tigers were tamed as this team won the 2006 World Series	the St. Louis Cardinals	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	800	no	WE ARE THE CHAMPIONS	-	In February 2005 this QB led the Patriots to their third Super Bowl win in 4 years, defeating the Eagles	(Tom) Brady	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	1600	no	WE ARE THE CHAMPIONS	-	This Swiss mister is the first man to win both Wimbledon & the U.S. Open 3 straight times	(Roger) Federer	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	2000	no	WE ARE THE CHAMPIONS	-	In 2004 he won the floor exercise at the U.S. Gymnastics Championships; he was second to twin brother Morgan in '02 & '03	Paul Hamm	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	400	no	19th CENTURY AMERICAN LIT	-	In an 1876 novel, he cons Ben, Billy & Johnny into whitewashing a fence for him	Tom Sawyer	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	800	no	19th CENTURY AMERICAN LIT	-	In this novel, Hester Prynne's husband assumes the guise of Roger Chillingworth, a doctor	The Scarlet Letter	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	1000	yes	19th CENTURY AMERICAN LIT	-	\\"The Legend of" this place is set in "Greensburgh... which is more generally" known as Tarry Town	Sleepy Hollow	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	1600	no	19th CENTURY AMERICAN LIT	-	Text that was deleted by the original publisher in 1895 was restored to this Stephen Crane novel in 1982	The Red Badge of Courage	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	2000	no	19th CENTURY AMERICAN LIT	-	Captain Kidd's buried treasure & a scarab beetle figure prominently in this 1843 Edgar Allan Poe tale	The Gold Bug	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	400	no	HEALTH MATTERS	-	Beware of bulging or swollen cans of food; it could be a sign of this food poisoning	botulism	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	800	no	HEALTH MATTERS	-	Of the 3 common types of burn, this intermediate type is typified by blisters & swelling	second degree	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	1200	no	HEALTH MATTERS	-	Hepatitis, which can be severe or cause no symptoms at all, is an inflammation of this organ	the liver	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	1000	yes	HEALTH MATTERS	-	Very simply, myalgia is pain in any one of these, often due to a stress injury	a muscle	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	400	no	NATIONAL NAMES	-	Around 1000 A.D. it was Dai Co Viet	Vietnam	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	800	no	NATIONAL NAMES	-	Kongeriket Norge translates to "Kingdom of" this	Norway	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	1200	no	NATIONAL NAMES	-	The name of this European country on the Atlantic comes from the Latin for a city where ships unload	Portugal	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	1600	no	NATIONAL NAMES	-	It became a duchy in 1354 & a grand duchy in 1815	Luxembourg	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	2000	no	NATIONAL NAMES	-	As one word, an African country; as 2, the type of food eaten on the run	Togo	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	400	no	YOU CAN SPEAK JAPANESE	-	Sing along to the music with this Japanese word that literally means "empty orchestra\\"	karaoke	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	800	no	YOU CAN SPEAK JAPANESE	-	For sleepover guests, you might consider one of these Japanese mattresses that can double as a sofa	a futon	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	1200	no	YOU CAN SPEAK JAPANESE	-	Tofu, a Japanese word, comes from this type of bean, which is also from the Japanese	soy	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
2	1600	no	YOU CAN SPEAK JAPANESE	-	Violent & futuristic anime can be based on these, Japanese for "comic books\\"	manga	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
3	0	no	THE U.S. MILITARY	-	This branch uses more fuel than the rest of the military combined	the Air Force	2007-02-06	2007 Teen Tournament quarterfinal game 2.\
1	200	no	BIBLICAL SPEAKERS BUREAU	(Alex: You have to identify the speaker, of course.)	\\"Blessed are the pure in heart: for they shall see God\\"	Jesus	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	2200	yes	BIBLICAL SPEAKERS BUREAU	(Alex: You have to identify the speaker, of course.)	\\"Tell me, I pray thee, wherein thy great strength lieth\\"	Delilah	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	600	no	BIBLICAL SPEAKERS BUREAU	(Alex: You have to identify the speaker, of course.)	\\"Miserable comforters are ye all\\"	Job	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	800	no	BIBLICAL SPEAKERS BUREAU	(Alex: You have to identify the speaker, of course.)	\\"Your eyes shall be opened, and ye shall be as gods, knowing good and evil\\"	the serpent	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	1000	no	BIBLICAL SPEAKERS BUREAU	(Alex: You have to identify the speaker, of course.)	\\"But I am slow of speech and of a slow tongue\\"	Moses	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	200	no	POPULAR CULTURE	-	You'll need a phone connection to use this 4-letter DVR that finds & records all your favorite shows	TiVo	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	400	no	POPULAR CULTURE	-	This "sweet" clothier has many pitch-girls, including Cheyenne & even Pat Benatar	Candie's	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	600	no	POPULAR CULTURE	-	Verizon says any of these longer than 160 characters is an e-mail & will be broken in 2	a text message	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	800	no	POPULAR CULTURE	-	Alice Childress' moving novel for young adults about a teen on drugs is called "A Hero Ain't Nothing But" this	a Sandwich	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	1000	no	POPULAR CULTURE	-	Among nicknames of Britney Spears' soon-to-be former hubby is this, also the name of a shipping company	FedEx	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	200	no	TECH-KNOW	-	For a great deal, check out this smallest version of the Apple iPod, even tinier than the Nano	the Shuffle	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	400	no	TECH-KNOW	-	Motorstorm, Lair & Warhawk are some of the products for this newest Sony entertainment system	the PlayStation 3	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	600	no	TECH-KNOW	-	This search engine's Picasa program lets you store, edit & share pictures	Google	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	800	no	TECH-KNOW	-	Phishing is not allowed when you use the newest version of this web browser from Mozilla	Firefox	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	1000	no	TECH-KNOW	-	You don't need to go to this cell phone company's "hotspot" if you want to talk with your "Sidekick\\"	T-Mobile	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	200	no	I WROTE THAT	-	\\"Roughing It", "Life on the Mississippi\\"	Mark Twain	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	400	no	I WROTE THAT	-	\\"Nicholas Nickleby", "Barnaby Rudge", "Martin Chuzzlewit\\"	Charles Dickens	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	600	no	I WROTE THAT	-	A book about a fire-related goblet, a book about a "Prince" with blood issues	J.K. Rowling	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	800	no	I WROTE THAT	-	\\"Misery", "Desperation", "The Green Mile\\"	Stephen King	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	1000	no	I WROTE THAT	-	\\"Raise High the Roof Beam, Carpenters", "Seymour: An Introduction\\"	J.D. Salinger	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	200	no	THE ZODIAC	-	The origins of this sign go back to a crab that pinched Hercules	Cancer	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	600	no	THE ZODIAC	-	Impulsive spending (perhaps on bows & arrows) typifies teens born under this sign of the archer	Sagittarius	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	800	no	THE ZODIAC	-	Don't worry, scaly skin is not an attribute of this sign of the scales	Libra	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	1000	no	THE ZODIAC	-	Billy--as in billy goat--would be an appropriate name for someone born under this goatlike sign	Capricorn	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	200	no	FROM THE LATIN	(Alex: Information...)	The name of this large brass instrument is Latin for "trumpet\\"	the tuba	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	400	no	FROM THE LATIN	(Alex: Information...)	This word for an official announcement, as in the Emancipation one, comes from the Latin "to cry out\\"	a proclamation	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	600	no	FROM THE LATIN	(Alex: Information...)	This word that means "writer" comes from the Latin for "agent\\"	author	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	800	no	FROM THE LATIN	(Alex: Information...)	Look it up--this type of reference work comes partly from the Latin for "word\\"	a dictionary	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
1	1000	no	FROM THE LATIN	(Alex: Information...)	The name of this type of musical composition, like the "moonlight" one, comes from the Latin for "to sound\\"	a sonata	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	400	no	NATIVE AMERICANS	-	American Indians used this small ax or hatchet to chop wood & to chop down enemies in battle	a tomahawk	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	1200	no	NATIVE AMERICANS	-	Cochise was a famous chief of this Native American people	Apache	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	2400	yes	NATIVE AMERICANS	-	With some 280,000 members, this tribe, largely concentrated in Oklahoma, is the largest in the U.S.	Cherokee	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	2000	no	NATIVE AMERICANS	-	The traditional Navajo home is this type of shelter, often 8-sided & made of logs & mud	a hogan	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	400	no	HAIL TO THE CHIEF	-	His real first name was Stephen, not Grover	Cleveland	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	800	no	HAIL TO THE CHIEF	-	The unpopularity of the Vietnam War led to his saying he wouldn't accept nomination for another term as president	Lyndon Baines Johnson	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	1200	no	HAIL TO THE CHIEF	-	In September 1974 he granted a presidential pardon & offered clemency to draft evaders & deserters	(Gerald) Ford	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	1600	no	HAIL TO THE CHIEF	-	His "Fourteen Points" announced in January 1918 included a call for an independent Polish state	Wilson	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	2000	no	HAIL TO THE CHIEF	-	In his last annual address to Congress, Dec. 1860, he warned the South that secession was unconstitutional	(James) Buchanan	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	400	no	TEENS UNDER THE MICROSCOPE	-	The CDC says that for teen drivers, this is the age with the highest crash risk	16	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	800	no	TEENS UNDER THE MICROSCOPE	-	In one year, 5% of boys & 7.7% of girls studied reported getting these severe headaches often	migraines	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	1200	no	TEENS UNDER THE MICROSCOPE	-	The "D" in "TADS" tells you it's a study to compare meds & psychotherapy in treating this sad condition	depression	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	1600	no	TEENS UNDER THE MICROSCOPE	-	A Cincinnati study found a link between teen delinquency & early exposure to this toxic metal	lead	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	2000	no	TEENS UNDER THE MICROSCOPE	-	Of teens in this Christian group, belief shapes the daily life of 40% of Episcopalians & over 70% of Baptists	Protestants	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
2	400	no	WINTER SPORTS	-	Types of jumps in this sport include the lutz, the salchow & the axel	figure skating	2007-02-07	2007 Teen Tournament quarterfinal game 3.\
